날짜,시간,소요시간,이용차량 ,기온(°C),강수량(mm),풍속(m/s),지면온도(°C)
20210821,0,4:47,"39,662",24.8,0,1.3,24.5
20210821,1,4:48,"26,076",24.5,0,2,24
20210821,2,4:31,"19,980",24,0,2.1,23.3
20210821,3,0,"18,449",24.1,0,2.5,23.6
20210821,4,0,"26,091",24.1,0,2.3,23.7
20210821,5,0,"57,556",24.1,0,2,23.7
20210821,6,0,"100,194",24.4,0,2.1,23.6
20210821,7,0,"129,175",24.3,0,1.9,23.7
20210821,8,0,"150,108",24.2,0.3,2.2,24.2
20210821,9,4:25,"166,658",23.9,0.5,2.3,24
20210821,10,4:14,"186,822",23,5.1,3.6,23
20210821,11,4:43,"202,700",22.7,7,3.1,23.1
20210821,12,0,"207,964",22,12.5,4.5,22.1
20210821,13,5:01,"211,009",21.4,22.4,6.3,21.3
20210821,14,5:02,"212,538",23.4,12.8,2.4,33.5
20210821,15,5:04,"212,698",25,0,0.8,31.6
20210821,16,0,"210,543",25.5,0,2.2,28.7
20210821,17,5:05,"201,201",24.8,0,4.2,25.3
20210821,18,4:54,"164,939",23.9,0.8,3.1,24.6
20210821,19,4:53,"120,476",23.6,1.3,5.1,23.8
20210821,20,0,"97,308",23.2,0,2,23.5
20210821,21,4:41,"86,366",23.3,0.1,3.9,23.4
20210821,22,4:38,"66,934",23.3,0,1.8,23.3
20210821,23,0,"42,553",23.4,0,3.6,23.1
20210822,0,0,"26,319",23.4,0,2.9,23.1
20210822,1,4:15,"17,247",23.3,0,3.2,23
20210822,2,4:57,"12,556",23.2,0,2.4,22.9
20210822,3,0,"10,915",23.1,0,1.8,22.8
20210822,4,0,"14,966",22.9,0,1.7,22.6
20210822,5,0,"34,706",22.6,0,1.1,21.8
20210822,6,0,"60,568",22.5,0,1.3,22.2
20210822,7,4:30,"76,214",23,0,1.5,23.8
20210822,8,0,"96,302",23.6,0,1.8,24.1
20210822,9,0,"131,217",24.2,0,1.6,25
20210822,10,0,"172,146",24.9,0,3.4,26.2
20210822,11,4:12,"205,023",25,0,2.9,25.4
20210822,12,4:13,"212,512",26,0,3.2,30.2
20210822,13,4:15,"220,288",26.6,0,3.5,30.1
20210822,14,0,"227,617",26.6,0,2.5,28.9
20210822,15,4:20,"230,417",26.3,0,2.9,27.6
20210822,16,4:17,"229,162",26,0,4.3,27.2
20210822,17,4:14,"223,728",26.1,0,2.5,26.9
20210822,18,4:01,"199,693",25.5,0,2.2,25.3
20210822,19,4:24,"167,007",25.2,0,2.3,24.2
20210822,20,4:48,"148,363",24.8,0,2,23.6
20210822,21,4:43,"128,103",24.3,0,1.9,23.2
20210822,22,4:22,"94,169",24,0,0.6,22.9
20210822,23,4:11,"56,305",23.5,0,0.7,22.5
20210823,0,5:10,"32,729",23.1,0,0.4,22.2
20210823,1,0,"20,868",22.8,0,0.5,22.1
20210823,2,3:53,"15,652",22.3,0,2.1,21.7
20210823,3,0,"16,142",22,0,0.7,21.6
20210823,4,4:05,"27,521",21.9,0,2.3,21.7
20210823,5,0,"80,951",21.9,0,3.1,21.6
20210823,6,4:00,"165,754",21.9,0,1.6,21.7
20210823,7,0,"247,085",22,0,2,22.2
20210823,8,0,"258,809",22.5,0,2,23.3
20210823,9,0,"201,934",22.9,0,2.3,23.6
20210823,10,4:05,"203,992",23.4,0,2.3,24.8
20210823,11,4:21,"203,145",23.9,0,2.8,25
20210823,12,0,"196,004",24,0,2.2,25.2
20210823,13,4:19,"202,978",23.9,0.3,2.4,25.1
20210823,14,4:15,"203,318",23.7,0.7,2,25
20210823,15,4:27,"201,904",23.6,0.9,1.8,24.9
20210823,16,4:41,"210,499",23.2,1,2.6,23.7
20210823,17,5:00,"218,751",23.2,0.8,2.1,23.7
20210823,18,4:49,"212,142",22.9,0.3,1.9,23.3
20210823,19,0,"154,951",22.1,1.3,3.1,22.4
20210823,20,4:36,"115,514",21.3,1.1,2.1,21.7
20210823,21,4:41,"86,470",21.1,1,2.6,21.6
20210823,22,4:28,"58,123",21,0,2.6,21.4
20210823,23,0,"35,927",21.1,0,2.8,21.4
20210824,0,4:29,"23,913",21.1,0,2.7,21.3
20210824,1,0,"17,544",21.3,0,3.4,21.2
20210824,2,4:31,"14,424",21.4,0,2.5,21.3
20210824,3,4:20,"14,816",21.6,0,2,21.5
20210824,4,0,"21,429",21.4,0.2,1.9,21.5
20210824,5,0,"52,656",21.1,0.3,2.7,21.4
20210824,6,0,"122,810",21.2,0,2.2,21.4
20210824,7,0,"204,571",21.5,0.2,2.7,21.8
20210824,8,0,"228,319",21.8,0.1,2.9,22.4
20210824,9,0,"189,482",22.2,0,3.4,23.3
20210824,10,0,"194,191",22.5,1.3,3,23.8
20210824,11,0,"189,084",23.7,0,3,26.7
20210824,12,5:35,"180,552",24.1,0.7,2.1,26.1
20210824,13,5:13,"188,995",24.2,2.6,1.5,26.5
20210824,14,4:50,"197,827",24.5,2,1.7,26.4
20210824,15,4:37,"200,728",25.9,0,2.8,27.6
20210824,16,0,"203,904",26.4,0.2,3.5,27.6
20210824,17,4:25,"222,731",25.8,1.2,3.6,26.4
20210824,18,4:14,"216,850",24.8,0,5.2,24.7
20210824,19,4:19,"153,102",24.1,1.2,3.7,24.2
20210824,20,0,"116,940",23.4,0.5,3.7,23.6
20210824,21,4:18,"92,899",23.6,0,3.7,23.4
20210824,22,4:10,"65,163",23.8,0,3.6,23.3
20210824,23,4:11,"40,219",23.8,0,1.9,23.3
20210825,0,4:06,"26,551",23.9,0,2.9,23.4
20210825,1,0,"19,107",23.9,0,1.9,23.3
20210825,2,0,"15,918",23.8,0,2.3,23.3
20210825,3,0,"16,632",23.8,0.3,0.4,23.4
20210825,4,0,"26,146",23.7,0,0.9,23.5
20210825,5,0,"70,978",23.7,0,0.5,23.3
20210825,6,0,"146,495",23.6,0,1,23.1
20210825,7,0,"222,934",23.6,0,1.4,23.5
20210825,8,0,"244,259",23.8,0,0.8,24.4
20210825,9,0,"205,315",24.5,0,1.4,25.7
20210825,10,3:57,"208,254",24.9,0,2.6,25.9
20210825,11,4:02,"207,324",25.6,0,2.5,28.2
20210825,12,4:03,"198,870",25.7,0,2.4,27.9
20210825,13,0,"210,616",25.5,0,2.2,27.9
20210825,14,4:14,"212,935",26,0,2,28
20210825,15,4:15,"215,837",27.2,0,2.9,33.9
