날짜,출발,도착,시간,도시간 소요시간,서울이용차량,공휴일여부,기온(°C),강수량(mm),풍속(m/s),지면온도(°C)
20120929,서울,부산,0,7:56,"8,436",1,15.7,0,4.3,13.7
20120929,서울,부산,1,8:17,"7,061",1,15.2,0,2.5,13.2
20120929,서울,부산,2,7:10,"6,370",1,15.1,0,2.7,13.3
20120929,서울,부산,3,7:55,"7,882",1,14.8,0,0,13.5
20120929,서울,부산,4,7:56,"8,156",1,14.7,0,0,13.4
20120929,서울,부산,5,8:01,"7,405",1,15.1,0,0,13.8
20120929,서울,부산,6,7:49,"7,569",1,15,0.1,0.4,14
20120929,서울,부산,7,7:29,"7,455",1,14.2,0.4,3.4,13.9
20120929,서울,부산,8,7:26,"9,906",1,14.7,0,4.1,15.2
20120929,서울,부산,9,9:43,"10,247",1,15.7,0,5.6,20.2
20120929,서울,부산,10,9:13,"11,003",1,16.2,0,5.4,23
20120929,서울,부산,11,7:57,"11,073",1,17.2,0,4,26.6
20120929,서울,부산,12,8:12,"11,788",1,18.3,0,3.3,28.4
20120929,서울,부산,13,8:33,"11,440",1,17.6,0,3.9,23.9
20120929,서울,부산,14,9:25,"11,538",1,17.6,0,2.9,22.7
20120929,서울,부산,15,9:25,"10,310",1,19.4,0,3.9,27.7
20120929,서울,부산,16,9:48,"10,443",1,19.1,0,3.5,22.7
20120929,서울,부산,17,10:05,"9,376",1,18.7,0,4,19.5
20120929,서울,부산,18,10:24,"8,502",1,17.4,0,3.4,17.5
20120929,서울,부산,19,10:00,"8,062",1,16.9,0,2.6,16
20120929,서울,부산,20,9:56,"7,427",1,16.3,0,0.9,14.7
20120929,서울,부산,21,9:36,"7,093",1,15.7,0,0.8,14
20120929,서울,부산,22,9:21,"6,048",1,15.3,0,1.8,13.4
20120929,서울,부산,23,8:34,"4,027",1,15.5,0,2.6,13
20130918,서울,부산,0,6:58,"8,436",0,21,0,1.5,18.7
20130918,서울,부산,1,7:28,"7,061",0,20.4,0,0.2,18.2
20130918,서울,부산,2,7:03,"6,370",0,20,0,0.4,17.8
20130918,서울,부산,3,6:55,"7,882",0,19.2,0,1.1,17.4
20130918,서울,부산,4,6:55,"8,156",0,18.7,0,0.9,17.1
20130918,서울,부산,5,6:49,"7,405",0,18.1,0,1.7,16.7
20130918,서울,부산,6,6:39,"7,569",0,17.7,0,1.1,16.4
20130918,서울,부산,7,6:26,"7,455",0,17.6,0,1.7,17.1
20130918,서울,부산,8,6:58,"9,906",0,19.1,0,1.4,20.5
20130918,서울,부산,9,7:20,"10,247",0,21.3,0,1.5,26.1
20130918,서울,부산,10,7:20,"11,003",0,23.5,0,1.8,33.1
20130918,서울,부산,11,7:12,"11,073",0,25.8,0,1.9,38.9
20130918,서울,부산,12,7:57,"11,788",0,27.7,0,2,42.2
20130918,서울,부산,13,7:49,"11,440",0,29.2,0,1.4,44.1
20130918,서울,부산,14,8:33,"11,538",0,30.2,0,1.8,43.5
20130918,서울,부산,15,9:24,"10,310",0,30.7,0,1.4,40.3
20130918,서울,부산,16,9:37,"10,443",0,30.9,0,2.1,33.6
20130918,서울,부산,17,9:22,"9,376",0,30.2,0,2.4,30.8
20130918,서울,부산,18,8:51,"8,502",0,29,0,1.1,27.7
20130918,서울,부산,19,8:20,"8,062",0,27.5,0,1.4,25
20130918,서울,부산,20,7:46,"7,427",0,26.3,0,1.3,23.6
20130918,서울,부산,21,7:06,"7,093",0,25.4,0,1.3,22.7
20130918,서울,부산,22,6:34,"6,048",0,24.5,0,1.7,22
20130918,서울,부산,23,6:14,"4,027",0,24.1,0,3.5,21.6
20140907,서울,부산,0,5:15,"4,770",1,23.3,0,0.9,21.8
20140907,서울,부산,1,5:00,"3,634",1,22.6,0,0,21.2
20140907,서울,부산,2,4:58,"2,912",1,22,0,1,20.7
20140907,서울,부산,3,4:47,"3,384",1,21.5,0,0.2,20.2
20140907,서울,부산,4,4:42,"5,100",1,21,0,0.7,19.9
20140907,서울,부산,5,5:56,"7,209",1,20.3,0,2,19.4
20140907,서울,부산,6,5:05,"7,299",1,19.9,0,2.1,19.2
20140907,서울,부산,7,5:15,"8,148",1,20,0,0.5,20
20140907,서울,부산,8,5:08,"9,637",1,22,0,1.4,23.8
20140907,서울,부산,9,5:07,"11,693",1,24,0,1.6,28.1
20140907,서울,부산,10,5:34,"11,713",1,25.9,0,1.9,32.9
20140907,서울,부산,11,5:38,"11,869",1,27.5,0,1.6,36.9
20140907,서울,부산,12,5:34,"10,127",1,29,0,1.9,40.2
20140907,서울,부산,13,5:41,"11,167",1,29.6,0,2.1,41.6
20140907,서울,부산,14,5:48,"11,563",1,30.9,0,2.6,42.1
20140907,서울,부산,15,5:43,"11,791",1,30.9,0,2.8,39.3
20140907,서울,부산,16,5:36,"11,207",1,29.9,0,3.6,35.6
20140907,서울,부산,17,5:39,"10,435",1,28.4,0,3.9,31.8
20140907,서울,부산,18,5:30,"9,219",1,27.7,0,1.9,29.4
20140907,서울,부산,19,5:21,"8,185",1,26.9,0,0.5,27.6
20140907,서울,부산,20,5:04,"7,736",1,26.4,0,2.8,26.3
20140907,서울,부산,21,5:07,"7,030",1,25.5,0,1.5,25.1
20140907,서울,부산,22,5:07,"6,073",1,24.8,0,1.6,24.3
20140907,서울,부산,23,4:26,"4,274",1,24,0,1.6,23.4
20150926,서울,부산,0,7:11,"6,949",1,20.9,0,1.2,19.4
20150926,서울,부산,1,7:08,"7,223",1,20.5,0,1.4,18.8
20150926,서울,부산,2,6:44,"6,202",1,20.1,0,0.8,18.5
20150926,서울,부산,3,6:09,"7,701",1,19.7,0,1.1,18.1
20150926,서울,부산,4,5:50,"8,250",1,19.4,0,1.9,18.2
20150926,서울,부산,5,5:44,"7,035",1,18.8,0,0.6,17.2
20150926,서울,부산,6,5:47,"9,152",1,18.4,0,0.8,16.7
20150926,서울,부산,7,5:59,"7,443",1,18,0,1.3,16.9
20150926,서울,부산,8,6:13,"8,824",1,19.5,0,0.7,19.6
20150926,서울,부산,9,6:31,"11,867",1,21.3,0,0.3,24.5
20150926,서울,부산,10,6:45,"12,296",1,22.8,0,2.5,29.5
20150926,서울,부산,11,7:07,"12,471",1,24.1,0,1.8,33.7
20150926,서울,부산,12,7:44,"12,096",1,25.3,0,3.6,37.5
20150926,서울,부산,13,8:35,"11,310",1,26.1,0,4,39.5
20150926,서울,부산,14,8:30,"11,775",1,27.6,0,2.1,42.2
20150926,서울,부산,15,8:42,"11,945",1,27.9,0,1.9,39.3
20150926,서울,부산,16,8:45,"11,600",1,27.6,0,2.3,33.9
20150926,서울,부산,17,8:31,"10,604",1,27.2,0,2.2,28.4
20150926,서울,부산,18,8:06,"9,590",1,25.9,0,2,24.8
20150926,서울,부산,19,7:35,"8,398",1,23.8,0,2.7,21.9
20150926,서울,부산,20,7:04,"8,285",1,22.6,0,1.9,20.4
20150926,서울,부산,21,5:45,"7,480",1,21.9,0,3.1,19.7
20150926,서울,부산,22,5:58,"6,504",1,20.7,0,0.5,18.1
20150926,서울,부산,23,5:24,"4,556",1,19.4,0,2.9,17.1
20160914,서울,부산,0,6:24,"7,835",0,23.9,0,0.8,21.5
20160914,서울,부산,1,6:15,"6,108",0,23.6,0,0.7,21.4
20160914,서울,부산,2,6:25,"6,513",0,23.2,0,0.6,21.4
20160914,서울,부산,3,5:56,"7,894",0,23,0,1,21.3
20160914,서울,부산,4,5:47,"8,640",0,22.8,0,1.2,21.3
20160914,서울,부산,5,5:49,"6,799",0,22.5,0,2.1,20.9
20160914,서울,부산,6,5:48,"8,163",0,22.3,0,1.7,20.9
20160914,서울,부산,7,5:45,"8,172",0,22.2,0,1.7,21
20160914,서울,부산,8,6:29,"9,010",0,22.9,0,1,23.7
20160914,서울,부산,9,6:29,"11,974",0,24.4,0,1.7,29.3
20160914,서울,부산,10,6:41,"11,842",0,25.4,0,0.6,29.9
20160914,서울,부산,11,7:14,"11,795",0,26.4,0,1.3,35.1
20160914,서울,부산,12,7:28,"11,923",0,27.3,0,1.5,37.1
20160914,서울,부산,13,7:57,"11,079",0,27.5,0,2.1,34
20160914,서울,부산,14,7:57,"12,022",0,27,0,3.4,33.8
20160914,서울,부산,15,8:22,"10,490",0,28.9,0,2.8,39.8
20160914,서울,부산,16,9:10,"11,135",0,28.1,0,1.3,33.3
20160914,서울,부산,17,8:50,"11,150",0,28.1,0,3.8,32.4
20160914,서울,부산,18,8:27,"10,254",0,26.7,0,3.2,27.4
20160914,서울,부산,19,8:11,"8,875",0,25.1,0,2.6,24.1
20160914,서울,부산,20,7:34,"8,257",0,24,0,2.2,22.2
20160914,서울,부산,21,7:03,"7,962",0,23,0,2.2,20.9
20160914,서울,부산,22,6:05,"6,724",0,22.4,0,1.5,19.9
20160914,서울,부산,23,5:41,"4,575",0,21.9,0,1.1,19
20171003,서울,부산,0,6:01,"7,100",1,19,0,3.5,15.6
20171003,서울,부산,1,5:44,"4,665",1,17.7,0,2.6,14.7
20171003,서울,부산,2,5:56,"3,704",1,16.6,0,1.4,13.9
20171003,서울,부산,3,5:28,"4,010",1,15.7,0,2,13.1
20171003,서울,부산,4,5:08,"6,338",1,15.2,0,2.1,12.5
20171003,서울,부산,5,4:59,"8,166",1,14.5,0,2.5,11.9
20171003,서울,부산,6,5:30,"8,990",1,14.1,0,2.8,11.4
20171003,서울,부산,7,4:45,"8,335",1,13.4,0,1.4,11.5
20171003,서울,부산,8,5:16,"10,603",1,14.1,0,2.3,12.4
20171003,서울,부산,9,5:22,"9,514",1,16,0,2.5,17.5
20171003,서울,부산,10,5:28,"12,173",1,19,0,0.8,23
20171003,서울,부산,11,5:40,"11,910",1,20.3,0,1.4,22.1
20171003,서울,부산,12,6:01,"10,193",1,21.8,0,1.8,28.3
20171003,서울,부산,13,6:22,"8,991",1,22.7,0,1.1,28.8
20171003,서울,부산,14,6:40,"11,932",1,23.2,0,0.9,29.7
20171003,서울,부산,15,7:21,"12,396",1,22.9,0,2.4,27.1
20171003,서울,부산,16,7:43,"10,815",1,21.7,0,2.4,24.2
20171003,서울,부산,17,7:50,"11,795",1,20.7,0,3.1,22
20171003,서울,부산,18,7:55,"10,951",1,19.5,0,4.1,19.6
20171003,서울,부산,19,8:06,"9,849",1,18,0,3.6,17.6
20171003,서울,부산,20,7:39,"9,073",1,17.2,0,4.5,16.3
20171003,서울,부산,21,7:04,"8,077",1,16.5,0,3.1,15.2
20171003,서울,부산,22,6:02,"6,963",1,16,0,3.2,14.4
20171003,서울,부산,23,5:53,"4,586",1,15.1,0,2.1,13.6
20180923,서울,부산,0,5:36,"6,351",1,17.2,0,0.6,15.1
20180923,서울,부산,1,5:13,"4,571",1,16.4,0,0.1,14.7
20180923,서울,부산,2,4:57,"4,004",1,16,0,1.3,14.7
20180923,서울,부산,3,4:50,"4,739",1,15.8,0,0.8,15.3
20180923,서울,부산,4,4:41,"6,488",1,16.2,0,0.7,16
20180923,서울,부산,5,4:45,"7,235",1,16.3,0,0.8,16.3
20180923,서울,부산,6,4:41,"8,982",1,16.5,0,1.2,16.4
20180923,서울,부산,7,4:42,"7,439",1,16.5,0,0.4,16.5
20180923,서울,부산,8,4:37,"9,822",1,17,0,1.2,16.9
20180923,서울,부산,9,5:14,"11,354",1,18.4,0,1,20
20180923,서울,부산,10,5:23,"12,565",1,19.3,0,0.2,21.5
20180923,서울,부산,11,5:43,"10,937",1,20.1,0,3,23.3
20180923,서울,부산,12,6:02,"12,256",1,20.8,0,1.2,23.5
20180923,서울,부산,13,6:25,"11,472",1,22.7,0,1.4,29.1
20180923,서울,부산,14,6:27,"12,111",1,24.2,0,1.2,30.6
20180923,서울,부산,15,6:35,"11,551",1,25,0,2.2,29.2
20180923,서울,부산,16,6:41,"11,443",1,24.6,0,4,26.2
20180923,서울,부산,17,6:12,"10,450",1,24.1,0,2.4,22.4
20180923,서울,부산,18,5:54,"10,545",1,22.3,0,2.7,19.3
20180923,서울,부산,19,5:50,"9,290",1,21,0,2.9,17.5
20180923,서울,부산,20,5:28,"9,213",1,20.2,0,3.3,16.4
20180923,서울,부산,21,5:04,"8,142",1,19.1,0,2.1,15.1
20180923,서울,부산,22,5:56,"7,350",1,18.5,0,2.5,14.3
20180923,서울,부산,23,5:30,"4,768",1,17.7,0,1.1,14.2
20190912,서울,부산,0,5:55,"8,621",0,22.8,0,4,22.3
20190912,서울,부산,1,7:01,"6,448",0,22.4,0,4.5,21.9
20190912,서울,부산,2,6:10,"6,025",0,22,0,3.3,21.5
20190912,서울,부산,3,5:47,"7,041",0,21.8,0,3,21.5
20190912,서울,부산,4,6:32,"8,014",0,21.6,0,2.5,21.2
20190912,서울,부산,5,7:26,"8,198",0,21.5,0,3.4,21.3
20190912,서울,부산,6,7:22,"9,156",0,21.5,0,2.7,21
20190912,서울,부산,7,7:03,"8,363",0,21.4,0,3.5,21.2
20190912,서울,부산,8,6:58,"9,266",0,21.6,0,3,21.8
20190912,서울,부산,9,6:51,"9,839",0,21.7,0,2.9,22.2
20190912,서울,부산,10,6:52,"10,839",0,22.2,0,3.2,23.6
20190912,서울,부산,11,7:07,"11,246",0,22.5,0,4.1,24.7
20190912,서울,부산,12,7:27,"10,732",0,22.2,0,3.8,23.7
20190912,서울,부산,13,7:47,"10,891",0,22,0,3.3,23.4
20190912,서울,부산,14,8:20,"10,908",0,22.1,0,3.6,23.5
